"","country","year","sex","total"
"246","Republic of Korea",1998,"male",28.5710335801809
"247","Republic of Korea",1999,"female",9.62153177343051
"248","Republic of Korea",1999,"male",22.6657846111732
"249","Republic of Korea",2000,"female",8.87482460014575
"250","Republic of Korea",2000,"male",20.2275123418972
"251","Republic of Korea",2001,"female",9.21911086309907
"252","Republic of Korea",2001,"male",21.6831486005342
"253","Republic of Korea",2002,"female",11.8572832186205
"254","Republic of Korea",2002,"male",26.3074338367375
"255","Republic of Korea",2003,"female",14.9000461839788
"256","Republic of Korea",2003,"male",33.0364871160998
"257","Republic of Korea",2004,"female",15.7943981164929
"258","Republic of Korea",2004,"male",34.3989468395034
"259","Republic of Korea",2005,"female",17.2805122351447
"260","Republic of Korea",2005,"male",34.7577921916226
"261","Republic of Korea",2006,"female",14.7411647671533
"262","Republic of Korea",2006,"male",31.0532531279697
"263","Republic of Korea",2007,"female",18.9258512764112
"264","Republic of Korea",2007,"male",33.0744402032522
"265","Republic of Korea",2008,"female",19.5362515371839
"266","Republic of Korea",2008,"male",35.050475655323
"267","Republic of Korea",2009,"female",23.1217046291975
"268","Republic of Korea",2009,"male",41.8843669965027
"269","Republic of Korea",2010,"female",22.0061618934124
"270","Republic of Korea",2010,"male",43.3642070297409
"271","Republic of Korea",2011,"female",21.080808007294
"272","Republic of Korea",2011,"male",45.4834373272683
"273","Republic of Korea",2012,"female",18.8849105361696
"274","Republic of Korea",2012,"male",40.1021740538559
"275","Republic of Korea",2013,"female",18.0799401635541
"276","Republic of Korea",2013,"male",41.7483195149675
"277","Republic of Korea",2014,"female",16.8878380168347
"278","Republic of Korea",2014,"male",40.2372289473941
"279","Republic of Korea",2015,"female",16.215583766552
"280","Republic of Korea",2015,"male",39.3448546453423
